Redshift,ZERR
0.02006812,6.372435e-06
0.02007213,5.30447e-05
0.02017038,8.329083e-05
0.02020143,8.757178e-06
0.02020521,2.793521e-05
0.02023203,3.719672e-05
0.02024255,6.767601e-06
0.0202533,8.786184e-06
0.02028017,9.795679e-05
0.02042839,1.389374e-05
0.02048302,4.628926e-05
0.02055154,7.56611e-06
0.02056357,4.372955e-06
0.02058977,4.7622e-06
0.02065068,5.322136e-06
0.02071481,2.183872e-05
0.02073357,6.43751e-06
0.02075011,6.596378e-06
0.02076595,1.633614e-05
0.02081061,4.165966e-05
0.02087294,0.0002316282
0.02087356,6.552433e-06
0.02087815,8.174235e-06
0.02096844,1.086823e-05
0.02100791,1.936713e-05
0.02102806,0.0003316365
0.0210885,1.184408e-05
0.02114941,1.407767e-05
0.0211855,5.642294e-06
0.02118826,7.873275e-06
0.02123489,8.553008e-06
0.0212823,6.901199e-06
0.02129031,1.327593e-05
0.02144862,1.157528e-05
0.02152295,5.284447e-06
0.02153221,2.196658e-05
0.0215488,1.014003e-05
0.02159289,8.043058e-06
0.02160238,9.032286e-05
0.02164709,9.840929e-06
0.0216862,1.068467e-05
0.0217257,1.234315e-05
0.02174366,9.700825e-06
0.02183263,9.617915e-06
0.02184413,1.078674e-05
0.02185223,7.010934e-06
0.02198311,0.0004644057
0.02203308,7.497893e-06
0.02204684,2.334902e-05
0.02207281,7.321563e-06
0.02222429,4.968109e-05
0.02233431,1.848631e-05
0.02242878,1.849735e-05
0.02244173,4.665593e-06
0.02244777,5.621635e-06
0.02253433,8.293943e-06
0.02254634,8.823555e-06
0.02255039,1.305273e-05
0.02266421,9.915161e-05
0.02271674,3.508928e-06
0.02277834,1.884735e-05
0.02288495,9.521121e-05
0.02288716,9.971179e-06
0.02293457,9.968644e-06
0.02294747,0.01208387
0.02297538,0.0001188704
0.02299765,8.712126e-06
0.02301558,1.287649e-05
0.02307472,7.264838e-06
0.02309709,1.102472e-05
0.02312766,1.32644e-05
0.02317358,8.84232e-06
0.02327715,8.473935e-06
0.02328395,6.518331e-06
0.02332381,1.244788e-05
0.02334997,6.501125e-06
0.02338662,6.823007e-06
0.02341157,2.487617e-05
0.02345129,5.265677e-05
0.02349713,6.821143e-06
0.02350619,8.986283e-06
0.02355932,6.265418e-06
0.0236412,1.684808e-05
0.02368909,6.777232e-06
0.02370029,4.653835e-06
0.02370098,1.185846e-05
0.02373173,9.948785e-06
0.02373773,1.387402e-05
0.02374067,7.998315e-06
0.02378123,6.886599e-06
0.02380821,7.03585e-06
0.02383399,1.204221e-05
0.02384099,1.415608e-05
0.0238557,1.300578e-05
0.02391864,1.762784e-05
0.02395415,1.112311e-05
0.02395959,1.264842e-05
0.02396213,8.464272e-06
0.02399928,1.705608e-05
0.02404051,1.189193e-05
0.02406311,7.843571e-06
0.02407184,0.00017275
0.02410114,1.314289e-05
0.02413867,7.31421e-06
0.02425287,6.172272e-06
0.024259,8.608682e-06
0.02428989,4.732576e-06
0.02447367,0.0001005381
0.02451276,0.0001066103
0.02453935,3.369324e-05
0.02454037,1.023944e-05
0.02462758,9.365654e-06
0.02469788,7.739744e-06
0.02470324,1.602574e-05
0.02475548,7.953729e-06
0.02476835,1.013122e-05
0.02482461,1.440281e-05
0.02491419,9.287376e-06
0.02491571,1.153353e-05
0.02500809,5.446943e-06
0.02504198,8.990744e-06
0.02505241,1.599322e-05
0.02505895,8.246342e-06
0.0250862,7.063081e-06
0.02510718,8.420332e-06
0.02516963,1.248088e-05
0.02526679,1.309078e-05
0.02530775,9.249624e-06
0.02533155,7.340642e-06
0.02547544,0.0002258374
0.02551551,4.550011e-06
0.02553359,0.0105512
0.02553599,0.01992805
0.02553787,1.761733e-05
0.02563562,2.409592e-05
0.02574884,1.089896e-05
0.02582725,1.281146e-05
0.02583542,1.22342e-05
0.02585027,1.202975e-05
0.02595516,1.278661e-05
0.02600547,7.509866e-06
0.02600774,1.401949e-05
0.02602703,5.943688e-05
0.02608409,8.060562e-06
0.02615625,1.184921e-05
0.02621074,7.633077e-06
0.02636232,1.488938e-05
0.02641193,6.244515e-06
0.02652129,7.579757e-06
0.02654268,1.284814e-05
0.02656959,7.701939e-06
0.02669116,2.285692e-05
0.02683863,2.228859e-05
0.02696669,8.068775e-06
0.02699067,9.847692e-06
0.02712852,5.986342e-06
0.02717412,8.218075e-06
0.02720036,2.138928e-05
0.02730983,8.26436e-06
0.02732691,6.144172e-06
0.02737383,8.142481e-06
0.0274479,1.20048e-05
0.02746393,7.448154e-05
0.02752304,0.0001081105
0.02757131,7.336307e-06
0.02759727,9.206567e-06
0.02759873,1.037677e-05
0.02766818,1.282464e-05
0.02768295,5.798061e-06
0.0276852,6.934103e-06
0.02786281,4.726517e-05
0.02787785,4.462263e-06
0.02790621,1.263235e-05
0.02794317,2.873238e-05
0.02795149,1.008501e-05
0.02803726,8.018241e-06
0.02808348,4.887825e-06
0.02813472,0.004318053
0.02816399,4.591578e-06
0.02819852,1.173331e-05
0.02823551,8.769037e-06
0.02826675,2.402957e-05
0.0283281,6.181055e-06
0.02834461,1.009567e-05
0.02839841,1.249439e-05
0.02844926,1.999629e-05
0.02844991,1.126843e-05
0.02850292,7.184e-06
0.02851696,0.0002223276
0.02854499,1.068444e-05
0.0285716,1.059059e-05
0.02861085,4.996791e-06
0.02861651,1.387114e-05
0.02875262,5.862647e-06
0.02876081,1.554506e-05
0.02884158,0.7933391
0.02884425,1.620584e-05
0.02884664,1.473649e-05
0.02888039,1.032768e-05
0.02889428,1.589433e-05
0.02892137,7.632301e-06
0.02893872,8.39954e-06
0.02909211,4.957248e-06
0.02910972,5.416638e-06
0.02918153,1.015555e-05
0.0292226,8.013272e-06
0.02937334,9.591075e-06
0.02937645,2.028656e-05
0.0293889,8.498806e-06
0.02943031,1.850845e-05
0.02945606,1.228091e-05
0.02951784,1.253211e-05
0.02952959,7.022986e-05
0.02955202,0.6259223
0.02956031,1.005856e-05
0.02971175,6.097102e-06
0.02978682,5.977126e-06
0.0298316,6.360799e-06
0.02984252,5.924556e-06
0.02988449,7.762506e-06
0.02994572,6.278879e-06
0.0299958,1.225808e-05
0.03000315,7.773432e-06
0.03008248,1.529078e-05
0.03017299,5.99129e-06
0.03026263,1.375025e-05
0.03027387,1.115612e-05
0.03028239,2.136335e-05
0.0302841,1.567897e-05
0.03029658,5.446095e-06
0.03040884,1.716016e-05
0.03041631,6.836216e-06
0.03042181,5.195178e-06
0.03047438,8.708003e-06
0.03049393,0.1740651
0.03059391,7.243303e-06
0.03062132,1.108868e-05
0.03067323,8.34337e-06
0.03070619,9.396673e-06
0.03083046,8.10796e-06
0.03086388,5.618097e-06
0.03087253,6.406757e-06
0.03090683,8.181804e-06
0.03106355,8.191436e-06
0.03106482,6.605896e-06
0.03107194,7.602136e-06
0.03116333,7.611868e-05
0.03122231,9.123809e-06
